Дата платежа;Сумма платежа;Дата покупки долга;Портфель;ClientID;Дата создания ClientID;UserID;Внутренняя служба;Дата закрепления;Дата открепления;Код получателя платежа
28.03.2022;29,65;16.05.2018;Портфель4;2838979;15.08.2018;8703;Отдел Сопровождения Исполнительных Производств;13.12.2021;16.05.2023;36
23.06.2022;1,28;16.05.2018;Портфель5;2838979;15.08.2018;8703;Отдел Сопровождения Исполнительных Производств;13.12.2021;16.05.2023;36
26.10.2023;3000;16.05.2018;Портфель1;2838979;15.08.2018;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
07.05.2020;5,67;02.04.2018;Портфель2;2838987;15.08.2018;8737;Отдел Сопровождения Исполнительных Производств;15.04.2020;09.05.2020;4
20.07.2021;287,37;17.05.2018;Портфель3;2839011;15.08.2018;12059;Отдел Сопровождения Исполнительных Производств;29.06.2021;05.08.2021;36
20.05.2022;4,74;17.05.2018;Портфель4;2839011;15.08.2018;8711;Отдел Сопровождения Исполнительных Производств;30.08.2021;27.09.2022;36
04.05.2023;97,24;17.05.2018;Портфель5;2839011;15.08.2018;14499;Отдел Сопровождения Исполнительных Производств;27.09.2022;27.04.2024;36
30.12.2020;1133,4;24.09.2018;Портфель1;2910287;01.11.2018;8702;Отдел Сопровождения Исполнительных Производств;01.12.2020;30.08.2021;56
10.07.2023;43,12;24.09.2018;Портфель2;2910247;01.11.2018;14499;Отдел Сопровождения Исполнительных Производств;03.05.2023;NULL;56
23.11.2021;2943;24.09.2018;Портфель3;2910305;01.11.2018;13381;Отдел Сопровождения Исполнительных Производств;01.11.2021;07.06.2022;56
01.06.2022;2934,5;24.09.2018;Портфель4;2910305;01.11.2018;13381;Отдел Сопровождения Исполнительных Производств;01.11.2021;07.06.2022;56
30.05.2024;200;24.09.2018;Портфель5;2910305;01.11.2018;NULL;NULL;NULL;NULL;36
30.05.2024;4274,73;24.09.2018;Портфель1;2910305;01.11.2018;NULL;NULL;NULL;NULL;36
30.05.2024;3265,27;24.09.2018;Портфель2;2910305;01.11.2018;NULL;NULL;NULL;NULL;36
27.12.2019;7667;01.11.2018;Портфель3;2910323;01.11.2018;9333;КЦ Реструктуризация;22.11.2019;05.03.2020;NULL
03.08.2021;0,01;24.09.2018;Портфель4;2910327;01.11.2018;8066;Отдел взаимодействия;06.07.2021;28.09.2021;56
02.12.2019;1035,76;24.09.2018;Портфель5;2910335;01.11.2018;8492;Отдел Сопровождения Исполнительных Производств;04.10.2019;17.07.2020;NULL
21.02.2022;213,83;24.09.2018;Портфель1;2910335;01.11.2018;8413;Отдел Сопровождения Исполнительных Производств;17.07.2020;02.09.2022;56
17.01.2022;814,3;26.04.2018;Портфель2;2909057;01.11.2018;8711;Отдел Сопровождения Исполнительных Производств;12.10.2021;15.03.2022;56
14.07.2023;0,02;26.04.2018;Портфель3;2909057;01.11.2018;14499;Отдел Сопровождения Исполнительных Производств;05.07.2023;31.01.2024;56
31.12.2020;30,55;24.09.2018;Портфель4;2909071;01.11.2018;8067;Отдел взаимодействия;13.11.2020;16.03.2021;56
02.06.2021;0,5;10.08.2018;Портфель5;2909113;01.11.2018;8066;Отдел взаимодействия;11.02.2021;05.07.2021;56
26.09.2019;1523,08;01.11.2018;Портфель1;2908987;01.11.2018;8272;Отдел Сопровождения Исполнительных Производств;09.09.2019;02.10.2019;NULL
16.09.2021;11,99;25.04.2018;Портфель2;2909143;01.11.2018;3659;Отдел юридического сопровождения;31.08.2021;14.10.2021;56
18.03.2020;53,94;01.11.2018;Портфель3;2909181;01.11.2018;10166;Отдел Сопровождения Исполнительных Производств;06.03.2020;31.03.2020;56
18.03.2020;65,26;01.11.2018;Портфель4;2909181;01.11.2018;10166;Отдел Сопровождения Исполнительных Производств;06.03.2020;31.03.2020;56
18.03.2020;487,67;01.11.2018;Портфель5;2909181;01.11.2018;10166;Отдел Сопровождения Исполнительных Производств;06.03.2020;31.03.2020;56
29.01.2024;570,6;22.12.2017;Портфель1;2207043;26.12.2017;8066;Отдел взаимодействия;26.01.2024;30.01.2024;7
29.01.2024;1562,49;22.12.2017;Портфель2;2207043;26.12.2017;8066;Отдел взаимодействия;26.01.2024;30.01.2024;7
29.08.2019;723,56;22.12.2017;Портфель3;2207185;26.12.2017;8272;Отдел Сопровождения Исполнительных Производств;17.07.2019;09.09.2019;NULL
27.08.2021;1259,63;22.12.2017;Портфель4;2207185;26.12.2017;8564;Отдел Сопровождения Исполнительных Производств;31.03.2020;30.09.2021;7
31.05.2021;169,31;22.12.2017;Портфель5;2207191;26.12.2017;12489;Отдел Сопровождения Исполнительных Производств;07.04.2021;01.03.2022;52
01.03.2022;21,89;12.07.2016;Портфель1;2032991;08.10.2017;13130;Отдел Сопровождения Исполнительных Производств;03.09.2021;02.03.2022;52
19.07.2018;398,86;29.06.2016;Портфель2;2032999;08.10.2017;4916;ОПЗХ;18.06.2018;17.07.2019;NULL
15.03.2021;3,21;03.08.2016;Портфель3;2033009;08.10.2017;11972;Отдел Сопровождения Исполнительных Производств;11.01.2021;30.06.2022;36
24.12.2021;545,99;03.08.2016;Портфель4;2033009;08.10.2017;11972;Отдел Сопровождения Исполнительных Производств;11.01.2021;30.06.2022;36
15.03.2021;1,745;03.08.2016;Портфель5;2033009;08.10.2017;11972;Отдел Сопровождения Исполнительных Производств;11.01.2021;30.06.2022;36
15.03.2021;0,06;03.08.2016;Портфель1;2033009;08.10.2017;11972;Отдел Сопровождения Исполнительных Производств;11.01.2021;30.06.2022;36
24.12.2021;524,745;03.08.2016;Портфель2;2033009;08.10.2017;11972;Отдел Сопровождения Исполнительных Производств;11.01.2021;30.06.2022;36
15.03.2021;0,12;03.08.2016;Портфель3;2033009;08.10.2017;11972;Отдел Сопровождения Исполнительных Производств;11.01.2021;30.06.2022;36
27.08.2018;4234,19;31.08.2016;Портфель4;1925051;22.08.2017;5022;ОПЗХ;15.03.2018;10.03.2019;NULL
09.07.2018;46,41;18.08.2016;Портфель5;1925059;22.08.2017;4916;ОПЗХ;16.03.2018;10.03.2019;NULL
09.07.2018;1001,2;18.08.2016;Портфель1;1925059;22.08.2017;4916;ОПЗХ;16.03.2018;10.03.2019;NULL
26.06.2019;6,34;18.08.2016;Портфель2;1925059;22.08.2017;8065;Отдел взаимодействия;24.05.2019;17.07.2019;NULL
15.10.2018;131,58;29.07.2017;Портфель3;1926811;04.09.2017;4915;ОПЗХ;01.06.2018;26.12.2018;NULL
04.10.2018;1187,5;29.09.2015;Портфель4;1398419;09.01.2017;4948;ОПЗХ;07.11.2017;16.04.2019;NULL
29.12.2017;500;29.09.2015;Портфель5;1398419;09.01.2017;4948;ОПЗХ;07.11.2017;16.04.2019;NULL
07.05.2018;400;29.09.2015;Портфель1;1398419;09.01.2017;4948;ОПЗХ;07.11.2017;16.04.2019;NULL
08.11.2021;2461,62;12.10.2015;Портфель2;1398425;09.01.2017;8703;Отдел Сопровождения Исполнительных Производств;21.06.2021;01.03.2023;36
27.01.2021;2338,35;09.10.2015;Портфель3;1398431;09.01.2017;8278;Отдел Сопровождения Исполнительных Производств;01.04.2020;07.06.2021;36
10.02.2022;1500;12.10.2015;Портфель4;1398459;09.01.2017;12342;Досудебное взыскание задолженности;26.11.2021;NULL;36
06.09.2018;575,55;04.11.2015;Портфель5;1398473;09.01.2017;4915;ОПЗХ;06.08.2018;27.09.2018;NULL
17.05.2018;1379,895;12.10.2015;Портфель1;1398497;09.01.2017;4948;ОПЗХ;25.04.2018;16.10.2018;NULL
13.03.2024;20400;12.10.2015;Портфель2;1398379;09.01.2017;NULL;NULL;NULL;NULL;36
02.11.2023;76,56;04.09.2015;Портфель3;1398557;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
02.11.2023;108,97;04.09.2015;Портфель4;1398557;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
31.05.2024;41;04.09.2015;Портфель5;1398573;09.01.2017;NULL;Отдел взаимодействия;NULL;NULL;36
11.08.2020;0,07;02.12.2015;Портфель1;1398577;09.01.2017;8072;Отдел взаимодействия;09.07.2020;11.11.2020;36
11.08.2020;34,06;02.12.2015;Портфель2;1398577;09.01.2017;8072;Отдел взаимодействия;09.07.2020;11.11.2020;36
25.07.2024;5,335;01.09.2015;Портфель3;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;223,565;01.09.2015;Портфель4;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;3,83;01.09.2015;Портфель5;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;13,335;01.09.2015;Портфель1;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;160,73;01.09.2015;Портфель2;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;2,715;01.09.2015;Портфель3;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;223,565;01.09.2015;Портфель4;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;9,585;01.09.2015;Портфель5;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;3,785;01.09.2015;Портфель1;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
25.07.2024;160,73;01.09.2015;Портфель2;1398599;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;16.05.2023;NULL;36
16.03.2022;3000;21.10.2015;Портфель3;1398581;09.01.2017;8703;Отдел Сопровождения Исполнительных Производств;24.02.2022;02.09.2022;36
04.12.2017;1,895;12.10.2015;Портфель4;1398595;09.01.2017;4915;ОПЗХ;31.05.2017;13.12.2017;NULL
05.07.2017;3,93;12.10.2015;Портфель5;1398655;09.01.2017;4915;ОПЗХ;31.05.2017;25.07.2017;NULL
30.07.2018;269,86;12.10.2015;Портфель1;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
30.07.2018;113,88;12.10.2015;Портфель2;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
30.07.2018;64,655;12.10.2015;Портфель3;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
28.12.2017;188,54;12.10.2015;Портфель4;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
30.07.2018;414,47;12.10.2015;Портфель5;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
30.07.2018;3,31;12.10.2015;Портфель1;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
30.07.2018;99,3;12.10.2015;Портфель2;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
30.07.2018;13,83;12.10.2015;Портфель3;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
30.07.2018;475,32;12.10.2015;Портфель4;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
28.12.2017;547,945;12.10.2015;Портфель5;1398671;09.01.2017;4948;ОПЗХ;03.08.2017;16.04.2019;NULL
15.08.2019;9656,52;21.10.2015;Портфель1;1398673;09.01.2017;8061;Отдел взаимодействия;17.04.2019;04.09.2019;NULL
17.01.2020;333,515;05.10.2015;Портфель2;1398681;09.01.2017;7401;ОДВ-ДЗП;10.09.2019;01.04.2020;NULL
18.05.2023;652,64;12.10.2015;Портфель3;1398693;09.01.2017;12059;Отдел Сопровождения Исполнительных Производств;26.04.2023;25.05.2023;36
28.06.2019;3445,5;21.10.2015;Портфель4;1398673;09.01.2017;8061;Отдел взаимодействия;17.04.2019;04.09.2019;NULL
18.05.2023;208,11;12.10.2015;Портфель5;1398693;09.01.2017;12059;Отдел Сопровождения Исполнительных Производств;26.04.2023;25.05.2023;36
04.04.2019;69,22;02.12.2015;Портфель1;1398733;09.01.2017;7444;ОДВ-ДЗП;02.04.2019;04.09.2019;31
18.06.2020;2110,6;01.09.2015;Портфель2;1398751;09.01.2017;8278;Отдел Сопровождения Исполнительных Производств;01.04.2020;07.06.2021;36
08.05.2020;2110,6;01.09.2015;Портфель3;1398751;09.01.2017;8278;Отдел Сопровождения Исполнительных Производств;01.04.2020;07.06.2021;36
02.08.2017;21,8;01.09.2015;Портфель4;1398755;09.01.2017;4915;ОПЗХ;31.05.2017;16.08.2017;NULL
14.11.2018;9705,08;29.09.2015;Портфель5;1398775;09.01.2017;4948;ОПЗХ;05.06.2018;16.04.2019;36
26.07.2017;5015,32;12.10.2015;Портфель1;1398807;09.01.2017;4916;ОПЗХ;26.07.2017;16.01.2018;NULL
09.02.2018;825;12.10.2015;Портфель2;1398807;09.01.2017;4948;ОПЗХ;17.01.2018;20.12.2018;NULL
26.10.2023;641,6;15.10.2015;Портфель3;1398825;09.01.2017;14499;Отдел Сопровождения Исполнительных Производств;02.08.2023;14.11.2023;4
10.10.2022;100;12.10.2015;Портфель4;1398831;09.01.2017;8703;Отдел Сопровождения Исполнительных Производств;04.05.2022;01.11.2022;36
09.02.2018;3825;04.09.2015;Портфель5;1398837;09.01.2017;4948;ОПЗХ;17.01.2018;14.01.2019;NULL
21.04.2021;44708,2;01.09.2015;Портфель1;1398755;09.01.2017;8278;Отдел Сопровождения Исполнительных Производств;01.04.2020;07.06.2021;36
27.04.2022;0,01;08.09.2015;Портфель2;1398873;09.01.2017;8703;Отдел Сопровождения Исполнительных Производств;06.04.2022;23.08.2022;36
07.11.2022;225,05;21.10.2015;Портфель3;1398881;09.01.2017;12230;Отдел Сопровождения Исполнительных Производств;01.11.2022;09.01.2023;7
21.08.2018;192,58;15.07.2015;Портфель4;1399049;09.01.2017;6044;ОПЗХ;29.03.2018;06.03.2019;NULL
08.06.2018;35,18;21.10.2015;Портфель5;1398967;09.01.2017;4916;ОПЗХ;13.04.2018;19.11.2018;NULL
04.05.2021;0,45;13.10.2015;Портфель1;1399001;09.01.2017;8066;Отдел взаимодействия;27.04.2021;30.09.2021;4
01.11.2019;1314,62;01.09.2015;Портфель2;1399015;09.01.2017;7504;ОДВ-ДЗП;10.09.2019;01.04.2020;NULL
14.04.2020;1771,88;01.09.2015;Портфель3;1399015;09.01.2017;8278;Отдел Сопровождения Исполнительных Производств;01.04.2020;31.05.2021;36
18.05.2020;584,14;01.09.2015;Портфель4;1399015;09.01.2017;8278;Отдел Сопровождения Исполнительных Производств;01.04.2020;31.05.2021;36
18.07.2017;4163,25;13.07.2015;Портфель5;1399051;09.01.2017;4915;ОПЗХ;31.05.2017;25.07.2017;NULL
17.01.2022;7298,5;01.09.2015;Портфель1;1399069;09.01.2017;8703;Отдел Сопровождения Исполнительных Производств;13.09.2021;27.04.2022;36
15.04.2022;9507,6;01.09.2015;Портфель2;1399069;09.01.2017;8703;Отдел Сопровождения Исполнительных Производств;13.09.2021;27.04.2022;36
20.03.2020;16,64;27.02.2017;Портфель3;1658445;29.03.2017;7101;ОДВ-ДЗП;09.09.2019;01.04.2020;21
08.06.2017;686,5474;06.03.2017;Портфель4;1658341;29.03.2017;4937;ОДВ-ДЗП;23.05.2017;09.06.2017;NULL
25.01.2021;1;18.02.2017;Портфель5;1658457;29.03.2017;8066;Отдел взаимодействия;12.08.2020;10.03.2021;4
14.02.2019;88,55;05.03.2017;Портфель1;1658539;29.03.2017;4916;ОПЗХ;10.04.2018;06.03.2019;23
14.02.2019;2621,6;05.03.2017;Портфель2;1658539;29.03.2017;4916;ОПЗХ;10.04.2018;06.03.2019;23
15.02.2019;478,27;19.03.2017;Портфель3;1658573;29.03.2017;5022;ОПЗХ;07.12.2017;16.04.2019;4
16.05.2023;490,1;19.03.2017;Портфель4;1658573;29.03.2017;14499;Отдел Сопровождения Исполнительных Производств;09.01.2023;NULL;4
30.10.2019;894,19;28.02.2017;Портфель5;1658593;29.03.2017;7104;ОДВ-ДЗП;09.09.2019;06.03.2020;NULL
10.04.2020;903,62;28.02.2017;Портфель1;1658593;29.03.2017;8682;Отдел Сопровождения Исполнительных Производств;01.04.2020;16.02.2021;21
06.10.2021;296,36;28.02.2017;Портфель2;1658593;29.03.2017;11410;Отдел Сопровождения Исполнительных Производств;31.08.2021;09.09.2022;21
26.09.2018;681,105;19.03.2017;Портфель3;1658621;29.03.2017;5022;ОПЗХ;22.09.2017;06.03.2019;NULL
12.10.2020;8;11.03.2017;Портфель4;1658789;29.03.2017;8066;Отдел взаимодействия;03.07.2020;11.12.2020;21
28.02.2018;0,045;14.03.2017;Портфель5;1658943;29.03.2017;4048;ОДВ-ДЗП;16.02.2018;02.08.2018;NULL
19.03.2021;130,03;09.03.2017;Портфель1;1658969;29.03.2017;8066;Отдел взаимодействия;10.03.2021;20.05.2021;36
21.06.2024;43,79;20.03.2017;Портфель2;1658707;29.03.2017;14499;Отдел Сопровождения Исполнительных Производств;03.10.2022;NULL;36
20.02.2024;40,73;20.03.2017;Портфель3;1658707;29.03.2017;14499;Отдел Сопровождения Исполнительных Производств;03.10.2022;NULL;36
26.02.2019;275,32;21.02.2016;Портфель4;4425131;10.12.2017;4916;ОПЗХ;20.11.2018;17.07.2019;22
24.12.2019;613,99;21.02.2016;Портфель5;4425131;10.12.2017;4915;ОПЗХ;05.12.2019;11.02.2020;NULL
27.08.2018;1684,69;24.02.2015;Портфель1;4425135;10.12.2017;4915;ОПЗХ;06.06.2018;26.12.2018;NULL
14.03.2019;3469,35;13.07.2015;Портфель2;4425185;10.12.2017;4916;ОПЗХ;28.09.2018;17.03.2019;22
16.08.2019;55;13.07.2015;Портфель3;4425185;10.12.2017;8066;Отдел взаимодействия;26.04.2019;04.09.2019;NULL
07.04.2020;1,31;17.12.2014;Портфель4;4425193;10.12.2017;8400;Отдел Сопровождения Исполнительных Производств;29.11.2019;09.04.2020;9
28.12.2018;1000;02.02.2015;Портфель5;4425197;10.12.2017;7467;ОДВ-ДЗП;19.12.2018;17.03.2019;23
29.10.2018;4217,75;08.09.2014;Портфель1;4425215;10.12.2017;4916;ОПЗХ;26.07.2018;16.07.2019;NULL
11.01.2023;254,38;03.04.2019;Портфель2;4525343;03.04.2019;14651;Отдел Сопровождения Исполнительных Производств;31.10.2022;16.01.2023;56
11.01.2023;2340,14;03.04.2019;Портфель3;4525343;03.04.2019;14651;Отдел Сопровождения Исполнительных Производств;31.10.2022;16.01.2023;56
02.12.2022;0,01;03.04.2019;Портфель4;4525343;03.04.2019;14651;Отдел Сопровождения Исполнительных Производств;31.10.2022;16.01.2023;56
12.03.2021;0,04;03.04.2019;Портфель5;4525347;03.04.2019;8702;Отдел Сопровождения Исполнительных Производств;01.12.2020;30.08.2021;56
12.03.2021;12;03.04.2019;Портфель1;4525347;03.04.2019;8702;Отдел Сопровождения Исполнительных Производств;01.12.2020;30.08.2021;56
